Year,Month,Date,Treatment/Control,SGL,Plot,Transect,Trap,ID,Recapture?,Specimen.Species,Sex?,Age?,Total.WT,Bag.WT,Animal.Weight,Ear.length,Foot.length,Tail.length,Body.length,Larvae,Nymphs,Ticks.Total,Fleas ,Other.Ectoparasites,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,18,BLUE163,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,22,BLUE165,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,SPRING CONTROL,,28,BLUE168,N,WFM ,F,AD,43,17,26,1.6,,,,,,6,,,
2021,August,8/5/2021,C,SGL176,SPRING CONTROL,,8,BLUE169,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,FALL CONTROL,,5,BLUE177,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,FALL CONTROL,,21,GREEN205,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,24,GREEN209,N,WFM ,M,AD,45,29,16,1.5,,,,,,3,,,
2021,August,8/5/2021,C,SGL176,FALL CONTROL,,7,GREEN210,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,FALL CONTROL,,9,GREEN211,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,21,GREEN215,N,WFM ,F,JUV,27,12,15,1.3,,,,,,9,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,2,RED332,N,WFM ,M,AD,36,12,24,1.6,,,,,,6,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,5,RED339,N,WFM ,F,AD,45,21,24,1.7,,,,,,23,,,
2021,August,8/5/2021,C,SGL176,FALL CONTROL,,1,RED362,N,WFM ,M,AD,54,29,25,1.5,,,,,,12,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,7,RED369,N,WFM ,F,AD,57,32,25,1.5,,,,,,5,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,30,RED378,N,WFM ,F,AD,54,29,25,1.5,,,,,,2,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,12,BLACK275,Y,WFM ,M,AD,35,9,26,1.5,,,,,,28,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,25,BLACK290,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,26,BLACK296,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,27,BLACK304,N,WFM ,M,AD,31,12,19,1.6,,,,,,5,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,28,BLACK309,N,WFM ,M,AD,37,12,25,1.6,,,,,,3,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,8,BLACK321,N,WFM ,M,AD,35,17,18,1.4,,,,,,18,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,3,BLACK329,N,WFM ,M,AD,30,12,18,1.5,,,,,,4,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,3,BLACK344,N,WFM ,F,AD,30,15,15,1.8,,,,,,8,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,8,BLACK345,N,WFM ,M,AD,52,29,23,1.5,,,,,,8,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,29,BLACK355,N,WFM ,M,AD,35,12,23,1.6,,,,,,0,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,11,BLUE153,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,15,BLUE156,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,4,BLUE157,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,26,BLUE160,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,21,BLUE163,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,15,BLUE165,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,7,BLUE167,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,21,BLUE171,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,6,BLUE194,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,13,GREEN?,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,21,GREEN205,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,25,GREEN209,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,2,GREEN210,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,3,GREEN211,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,30,RED308,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,14,RED319,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,30,RED327,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,2,RED332,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,10,RED333,N,WFM ,M,JUV,20,13,7,1.25,,,,,,10,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,29,RED335,N,WFM ,M,AD,32,13,19,1.5,,,,,,3,,1,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,23,RED354,N,WFM ,M,AD,31,13,18,1.6,,,,,,1,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,12,RED358,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,SUMMER CONTROL,,7,RED369,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,18,RED384,N,WFM ,M,JUV,27,9,18,1.75,,,,,,15,,,
2021,August,8/6/2021,C,SGL176,SPRING CONTROL,,18,RED394,N,WFM ,M,AD,31.5,15,16.5,1.5,,,,,,33,,,
2021,August,8/6/2021,C,SGL176,FALL CONTROL,,19,RED413,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/3/2021,C,SGL33,FALL CONTROL,,24,RED406,N,WFM ,F,AD,36,14,22,1.6,,,,,,22,,,
2021,August,8/4/2021,C,SGL33,SPRING CONTROL,,8,BLACK166,N,WFM ,F,AD,31.5,8.5,23,1.5,,,,,,4,,,
2021,August,8/4/2021,C,SGL33,FALL CONTROL,,26,BLUE119,N,WFM ,F,AD,36,14,22,1.4,,,,,,13,,,
2021,August,8/4/2021,C,SGL33,FALL CONTROL,,28,BLUE126,N,WFM ,M,AD,54,31.5,22.5,1.7,,,,,,10,,,
2021,August,8/4/2021,C,SGL33,FALL CONTROL,,27,BLUE195,N,WFM ,F,AD,49,23,26,1.7,,,,,,10,,,
2021,August,8/4/2021,C,SGL33,SPRING CONTROL,,30,GREEN268,N,WFM ,F,AD,32,8.5,23.5,1.4,,,,,,6,,,
2021,August,8/4/2021,C,SGL33,SUMMER CONTROL,,24,GREEN289,N,WFM ,F,JUV,29,15.5,13.5,1,,,,,,3,,,
2021,August,8/4/2021,C,SGL33,FALL CONTROL,,12,RED406,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL33,SPRING CONTROL,,8,BLACK166,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL33,FALL CONTROL,,29,BLUE195,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL33,SPRING CONTROL,,19,GREEN235,N,WFM ,M,AD,36,18,18,1.5,,,,,,12,,,
2021,August,8/5/2021,C,SGL33,SUMMER CONTROL,,23,GREEN289,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL33,FALL CONTROL,,16,RED406,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,SPRING CONTROL,,12,BLACK166,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,SPRING CONTROL,,7,BLACK193,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,SPRING CONTROL,,4,BLACK416,Y,WFM ,M,AD,36,14,22,1.5,,,,,,8,,,
2021,August,8/6/2021,C,SGL33,SPRING CONTROL,,4,BLACK416,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,SPRING CONTROL,,29,BLUE116,N,WFM ,M,AD,35,10,25,1.5,,,,,,10,,,
2021,August,8/6/2021,C,SGL33,FALL CONTROL,,23,BLUE119,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,SPRING CONTROL,,17,BLUE136,N,WFM ,M,JUV,31,14,17,1.5,,,,,,12,,,
2021,August,8/6/2021,C,SGL33,FALL CONTROL,,28,BLUE195,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,FALL CONTROL,,16,GREEN231,N,WFM ,F,AD,60,35,25,1.5,,,,,,16,,,
2021,August,8/6/2021,C,SGL33,SPRING CONTROL,,19,GREEN235,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,SUMMER CONTROL,,26,GREEN289,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/6/2021,C,SGL33,FALL CONTROL,,18,RED406,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,8,BLACK136,Y,WFM ,F,AD,41,8.5,32.5,1.4,,,,,,0,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,7,BLACK216,Y,WFM ,M,AD,37.5,13.5,24,1.5,,,,,,2,,,
2021,July,7/20/2021,C,SGL103 NORTH,SUMMER CONTROL,,11,BLACK247,N,WFM ,M,AD,38,16,22,1.4,,,,,,12,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,29,BLACK284,Y,WFM ,F,AD,32.5,9.5,23,1.5,,,,,,6,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,23,RED404,N,WFM ,M,AD,38,12,26,1.1,,,,,,8,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,4,RED405,N,WFM ,M,AD,36,15,21,1.3,,,,,,2,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,21,RED413,N,WFM ,M,JUV,31,13,18,1.2,,,,,,10,,,
2021,July,7/20/2021,C,SGL103 NORTH,SUMMER CONTROL,,22,RED426,N,WFM ,F,JUV,33,21,12,1.3,,,,,,9,,,
2021,July,7/20/2021,C,SGL103 NORTH,SUMMER CONTROL,,2,RED427,N,WFM ,F,AD,38.5,12.5,26,1.5,,,,,,10,,,
2021,July,7/20/2021,C,SGL103 NORTH,SUMMER CONTROL,,20,RED429,N,WFM ,F,AD,37,16,21,1.6,,,,,,3,,,
2021,July,7/20/2021,C,SGL103 NORTH,SUMMER CONTROL,,8,RED437,N,WFM ,M,AD,38,12,26,1.6,,,,,,7,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,6,RED440,N,WFM ,M,AD,35,14,21,1.7,,,,,,14,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,28,RED444,N,WFM ,M,JUV,28,12.5,15.5,1.3,,,,,,18,,,
2021,July,7/20/2021,C,SGL103 NORTH,SPRING CONTROL,,21,RED478,N,WFM ,M,AD,35,10,25,1.2,,,,,,7,,,
2021,July,7/20/2021,C,SGL103 NORTH,SPRING CONTROL,,26,RED488,N,WFM ,M,JUV,33,21,12,1,,,,,,25,,,
2021,July,7/20/2021,C,SGL103 NORTH,FALL CONTROL,,17,RED500,N,WFM ,M,JUV,22,8.5,13.5,1,,,,,,7,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,9,BLACK136,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,5,BLACK216,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,11,BLACK247,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,22,BLACK284,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,24,RED404,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,23,RED413,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,27,RED426,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,1,RED427,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,20,RED429,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,14,RED431,N,WFM ,F,AD,26,10,16,1.4,,,,,,0,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,1,RED433,N,WFM ,M,AD,29,9,20,1.3,,,,,,4,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,13,RED434,N,WFM ,M,JUV,37,12,25,1.1,,,,,,2,,,
2021,July,7/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,13,RED437,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,27,RED444,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,4,RED450,N,WFM ,M,AD,36,8,28,1.2,,,,,,5,,,
2021,July,7/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,24,RED499,N,WFM ,M,JUV,23,8,15,1,,,,,,23,,,
2021,July,7/21/2021,C,SGL103 NORTH,FALL CONTROL,,18,RED500,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,13,BLACK136,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,16,BLACK216,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,SUMMER CONTROL,,14,BLACK247,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,21,BLACK284,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,15,BLUE107,N,WFM ,M,JUV,25,8,17,1.4,,,,,,24,,,
2021,July,7/22/2021,C,SGL103 NORTH,SUMMER CONTROL,,3,BLUE114,N,WFM ,M,AD,28,9,19,1.5,,,,,,15,,,
2021,July,7/22/2021,C,SGL103 NORTH,SUMMER CONTROL,,15,BLUE129,N,WFM ,F,AD,55,27,28,1.75,,,,,,8,,,
2021,July,7/22/2021,C,SGL103 NORTH,SPRING CONTROL,,25,BLUE179,N,WFM ,M,AD,28,9,19,1.5,,,,,,9,,,
2021,July,7/22/2021,C,SGL103 NORTH,SPRING CONTROL,,2,BLUE200,N,WFM ,M,JUV,29,8,21,1.6,,,,,,20,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,27,RED404,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,18,RED413,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,SUMMER CONTROL,,26,RED426,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,SUMMER CONTROL,,1,RED427,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,SUMMER CONTROL,,22,RED429,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,12,RED431,Y,WFM ,,,,,,,,,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,8,RED433,Y,WFM ,,,,,,,,,,,,,,,
